Time_Seconds,Mean_WWTP_Inflow
0,18.7466482
180,19.51013095
360,19.34531722
540,19.3463035
720,19.00354029
900,18.6994985
1080,18.45456664
1260,18.3422158
1440,19.21354254
1620,19.55867754
1800,19.68476404
1980,19.81601759
2160,19.89137233
2340,19.89893918
2520,19.84979543
2700,19.77731741
2880,19.72621128
3060,19.71116793
3240,19.68902598
3420,19.68397608
3600,19.69515397
3780,22.11439458
3960,22.13782367
4140,22.037823
4320,21.91097444
4500,21.82970994
4680,21.73172565
4860,21.61966051
5040,21.50332182
5220,21.39069895
5400,21.28866714
5580,21.20205083
5760,21.13216868
5940,21.079288
6120,18.93475789
6300,18.42297823
6480,18.42297823
6660,18.42297823
6840,18.42297823
7020,18.42297823
7200,18.41599731
7380,17.30147727
7560,16.87294848
7740,16.60938606
7920,16.42937783
8100,16.38002832
8280,16.36555067
8460,16.37817143
8640,16.4400324
8820,16.85174243
9000,16.90871521
9180,17.32680457
9360,17.36313232
9540,17.39059317
9720,17.41057966
9900,17.42490526
10080,17.43501447
10260,17.44196751
10440,17.44657392
10620,17.44949619
10800,17.45106731
10980,19.96015591
11160,19.85548506
11340,19.69274897
11520,19.53804005
11700,19.39590704
11880,19.24881929
12060,19.12545111
12240,19.048397
12420,19.03056138
12600,19.07127867
12780,19.21214771
12960,19.49819366
13140,17.71691613
13320,16.82903556
13500,17.08891605
13680,17.28795632
13860,17.43775684
14040,17.55215057
14220,17.639421
14400,17.70562186
14580,17.48722897
14760,17.69380166
14940,18.09825185
15120,18.65118307
15300,19.34682203
15480,20.23533771
15660,22.35188971
15840,23.44392082
16020,24.56305703
16200,25.64932225
16380,26.60865262
16560,27.3641744
16740,27.9376677
16920,28.3724116
17100,28.68849403
17280,28.91388596
17460,29.06995103
17640,29.17335479
17820,29.23838644
18000,29.27726094
18180,29.9190746
18360,30.05985144
18540,30.2638736
18720,31.03770649
18900,35.15124651
19080,36.8461433
19260,36.93968969
19440,37.05227178
19620,37.17406044
19800,37.88909132
19980,37.95756304
20160,38.01751682
20340,38.0675273
20520,38.10732147
20700,38.13795662
20880,38.16102287
21060,38.17822235
21240,38.19101219
21420,38.20054083
21600,38.30829347
21780,46.1245713
21960,46.7344819
22140,48.47016729
22320,48.87528555
22500,49.82022996
22680,50.77020461
22860,50.89457875
23040,50.97815926
23220,51.03102736
23400,49.9720947
23580,50.95310559
23760,49.53671841
23940,49.53984739
24120,49.54493551
24300,41.45390885
24480,40.89613882
24660,40.91546015
24840,40.92915401
25020,40.93866324
25200,40.90847006
25380,38.79696298
25560,38.61189502
25740,38.73191906
25920,38.83246272
26100,38.9136302
26280,38.98141651
26460,39.03784541
26640,39.08750007
26820,39.12930214
27000,39.16695315
27180,39.19838106
27360,39.22362633
27540,38.74323905
27720,37.6064485
27900,36.78461898
28080,36.80446334
28260,36.81830812
28440,36.8275649
28620,36.83348372
28800,36.83711236
28980,35.76064726
29160,35.35382834
29340,35.46484813
29520,35.21486403
29700,35.21486403
29880,35.21486403
30060,35.21486403
30240,35.21486403
30420,35.21486403
30600,35.21486403
30780,35.21486403
30960,35.21486403
31140,35.21486403
31320,35.21486403
31500,35.21486403
31680,35.21486403
31860,35.21486403
32040,35.21486403
32220,35.21486403
32400,35.21403092
32580,34.35188177
32760,33.78492891
32940,33.17316752
33120,32.78853577
33300,32.78853577
33480,32.78853577
33660,32.78853577
33840,32.78853577
34020,32.78853577
34200,32.78853577
34380,32.78853577
34560,32.78853577
34740,32.78853577
34920,32.78853577
35100,32.78853577
35280,32.78853577
35460,32.78853577
35640,32.78853577
35820,32.78853577
36000,32.79657946
36180,32.88378582
36360,32.88378582
36540,32.88378582
36720,32.88378582
36900,32.88378582
37080,32.88378582
37260,32.88378582
37440,32.88378582
37620,32.88378582
37800,32.88378582
37980,32.88378582
38160,32.88378582
38340,32.88378582
38520,32.88378582
38700,32.88378582
38880,32.88378582
39060,32.88378582
39240,32.88378582
39420,32.88378582
39600,32.91287706
39780,37.09032519
39960,37.29332996
40140,37.33040548
40320,37.34201061
40500,37.33857178
40680,37.32382802
40860,37.301468
41040,37.27534948
41220,37.24920388
41400,38.64869523
41580,38.6292938
41760,38.60958537
41940,36.16620248
42120,33.18108986
42300,32.92846946
42480,31.89311879
42660,31.89311879
42840,31.89311879
43020,31.89311879
43200,31.88125892
43380,29.43738894
43560,28.53687545
43740,29.28688
43920,28.69698823
44100,28.79921271
44280,28.71648877
44460,28.70228656
44640,28.76047807
44820,27.59687148
45000,27.69678928
45180,27.78307851
45360,27.85226026
45540,27.90590926
45720,27.94606587
45900,27.97539878
46080,27.99635318
46260,28.01086544
46440,28.0205327
46620,28.02671228
46800,28.01089679
46980,27.30883927
47160,26.76569261
47340,26.40684029
47520,26.40501916
47700,26.40270925
47880,26.39995855
48060,26.39690231
48240,26.39370813
48420,26.39053466
48600,26.38759792
48780,26.38510299
48960,26.38313176
49140,26.38164216
49320,26.38053979
49500,26.37973417
49680,26.37915601
49860,26.37875307
50040,26.37848291
50220,26.3783095
50400,26.37772556
50580,26.66534282
50760,26.25971483
50940,25.91861096
51120,25.6474223
51300,25.44091991
51480,25.49910625
51660,25.92047397
51840,26.33248716
52020,26.34601236
52200,26.38763488
52380,26.44600661
52560,26.50737546
52740,25.55106405
52920,25.59192204
53100,25.62458028
53280,25.65026551
53460,25.67046183
53640,25.6860648
53820,25.69774361
54000,25.67575961
54180,25.24601352
54360,25.35002255
54540,25.4810691
54720,25.64504679
54900,25.82974973
55080,26.03744166
55260,26.26939096
55440,26.51537633
55620,26.76580913
55800,27.00196482
55980,27.20858697
56160,27.37997346
56340,27.51730242
56520,27.62373054
56700,27.70463012
56880,27.76561436
57060,27.8107272
57240,27.84302311
57420,27.86520895
57600,27.90096751
57780,32.16167352
57960,32.40427917
58140,33.06763941
58320,37.01625424
58500,36.9721707
58680,36.93322891
58860,36.89800698
59040,36.86966404
59220,36.84414735
59400,36.82341675
59580,37.19212401
59760,37.16079646
59940,36.91298836
60120,33.08688845
60300,33.09454857
60480,33.43595858
60660,33.43595858
60840,33.43595858
61020,33.43595858
61200,33.43939992
61380,34.19453094
61560,34.18071631
61740,34.15768917
61920,34.15658717
62100,34.15658717
62280,34.15658717
62460,34.15658717
62640,34.15658717
62820,34.15658717
63000,34.15658717
63180,34.15658717
63360,34.15658717
63540,34.15658717
63720,34.15658717
63900,34.15658717
64080,34.15658717
64260,34.15658717
64440,34.15658717
64620,34.15658717
64800,34.15612142
64980,44.89642207
65160,45.40954846
65340,45.5771552
65520,45.72146559
65700,45.85070018
65880,45.95577755
66060,46.02914412
66240,46.06764045
66420,46.07359599
66600,46.05722929
66780,46.03161275
66960,46.00573834
67140,45.29934165
67320,33.21184514
67500,33.21184514
67680,33.21184514
67860,33.21184514
68040,33.21184514
68220,33.21184514
68400,33.19885471
68580,32.17646868
68760,32.17646868
68940,32.17646868
69120,32.17646868
69300,32.17646868
69480,32.17646868
69660,32.17646868
69840,32.17646868
70020,32.17646868
70200,32.17646868
70380,32.17646868
70560,32.17646868
70740,32.17646868
70920,32.17646868
71100,32.17646868
71280,32.17646868
71460,32.17646868
71640,32.17646868
71820,32.17646868
72000,32.16949522
72180,30.19850707
72360,30.19850707
72540,30.19850707
72720,30.19850707
72900,30.19850707
73080,30.19850707
73260,30.19850707
73440,30.19850707
73620,30.19850707
73800,30.19850707
73980,30.19850707
74160,30.19850707
74340,30.19850707
74520,30.19850707
74700,30.19850707
74880,30.19850707
75060,30.19850707
75240,30.19850707
75420,30.19850707
75600,30.19428923
75780,27.76348909
75960,28.41810818
76140,27.91407246
76320,27.38615033
76500,26.80812381
76680,27.62231124
76860,26.98508096
77040,24.93777399
77220,25.79605711
77400,25.47587062
77580,25.39710509
77760,24.03660777
77940,24.01727961
78120,24.0023878
78300,22.97230697
78480,24.21276244
78660,24.22311988
78840,24.22897841
79020,24.23298971
79200,24.20338851
79380,23.33965459
79560,21.45913199
79740,20.97104428
79920,20.54918819
80100,21.02450117
80280,20.70670002
80460,20.42103757
80640,20.15953729
80820,19.91792373
81000,19.72689175
81180,19.84273717
81360,19.93508552
81540,20.00362773
81720,20.05336353
81900,20.08901104
82080,20.11410154
82260,20.13122627
82440,20.51810973
82620,20.52281527
82800,20.52563713
82980,22.47369987
83160,22.53130668
83340,22.53062999
83520,22.51503073
83700,22.48922587
83880,22.45081364
84060,21.27180843
84240,21.22706384
84420,21.18273194
84600,21.14253491
84780,21.10858258
84960,21.08184613
85140,21.06109124
85320,19.71415168
85500,19.71415168
85680,19.71415168
85860,19.71415168
86040,19.71415168
86220,19.71415168
