SWMM5 Interface File
*MODEL: Sewer catchment model to simulate sewer discharge from Central Fehraltorf to the the treatment plant at ARA Fehraltorf. This model includes the observed transfer flows from RUMLIKON at location 'f02' (node 555) and RUSSIKON at location 'f03' (node 11d). The model is not complete and may still contain errors! 
300  - reporting time step in sec
1    - number of constituents as listed below:
FLOW LPS
8    - number of nodes as listed below:
103d_SBW
ARA_Fehraltorf
Bacheinlauf1
Bacheinlauf2
Bacheinlauf30
Bacheinlauf47
Node_8
Notentlastung_48b
Node             Year Mon Day Hr  Min Sec FLOW      
Bacheinlauf30    2016 06  16  02  10  00  0.000000  
Bacheinlauf47    2016 06  16  02  10  00  0.000000  
Node_8           2016 06  16  02  10  00  0.000000  
Notentlastung_48b 2016 06  16  02  10  00  0.000000  
103d_SBW         2016 06  16  02  15  00  0.000000  
ARA_Fehraltorf   2016 06  16  02  15  00  52.148965 
Bacheinlauf1     2016 06  16  02  15  00  0.000000  
Bacheinlauf2     2016 06  16  02  15  00  0.000000  
Bacheinlauf30    2016 06  16  02  15  00  0.000000  
Bacheinlauf47    2016 06  16  02  15  00  0.000000  
Node_8           2016 06  16  02  15  00  0.000000  
Notentlastung_48b 2016 06  16  02  15  00  0.000000  
103d_SBW         2016 06  16  02  20  00  0.000000  
ARA_Fehraltorf   2016 06  16  02  20  00  52.148965 
Bacheinlauf1     2016 06  16  02  20  00  0.000000  
Bacheinlauf2     2016 06  16  02  20  00  0.000000  
Bacheinlauf30    2016 06  16  02  20  00  0.000000  
Bacheinlauf47    2016 06  16  02  20  00  0.000000  
Node_8           2016 06  16  02  20  00  0.000000  
Notentlastung_48b 2016 06  16  02  20  00  0.000000  
103d_SBW         2016 06  16  02  25  00  0.000000  
ARA_Fehraltorf   2016 06  16  02  25  00  52.148965 
Bacheinlauf1     2016 06  16  02  25  00  0.000000  
Bacheinlauf2     2016 06  16  02  25  00  0.000000  
Bacheinlauf30    2016 06  16  02  25  00  0.000000  
Bacheinlauf47    2016 06  16  02  25  00  0.000000  
Node_8           2016 06  16  02  25  00  0.000000  
Notentlastung_48b 2016 06  16  02  25  00  0.000000  
103d_SBW         2016 06  16  02  30  00  0.005932  
ARA_Fehraltorf   2016 06  16  02  30  00  51.960648 
Bacheinlauf1     2016 06  16  02  30  00  0.000000  
Bacheinlauf2     2016 06  16  02  30  00  0.001066  
Bacheinlauf30    2016 06  16  02  30  00  0.000000  
Bacheinlauf47    2016 06  16  02  30  00  0.000000  
Node_8           2016 06  16  02  30  00  0.000000  
Notentlastung_48b 2016 06  16  02  30  00  0.000000  
103d_SBW         2016 06  16  02  35  00  0.007763  
ARA_Fehraltorf   2016 06  16  02  35  00  51.778017 
Bacheinlauf1     2016 06  16  02  35  00  0.000000  
Bacheinlauf2     2016 06  16  02  35  00  0.001067  
Bacheinlauf30    2016 06  16  02  35  00  0.000000  
Bacheinlauf47    2016 06  16  02  35  00  0.000000  
Node_8           2016 06  16  02  35  00  0.000000  
Notentlastung_48b 2016 06  16  02  35  00  0.000000  
103d_SBW         2016 06  16  02  40  00  0.006738  
ARA_Fehraltorf   2016 06  16  02  40  00  51.524653 
Bacheinlauf1     2016 06  16  02  40  00  0.000000  
Bacheinlauf2     2016 06  16  02  40  00  0.001069  
Bacheinlauf30    2016 06  16  02  40  00  0.000000  
Bacheinlauf47    2016 06  16  02  40  00  0.000000  
Node_8           2016 06  16  02  40  00  0.000000  
Notentlastung_48b 2016 06  16  02  40  00  0.000000  
103d_SBW         2016 06  16  02  45  00  0.004920  
ARA_Fehraltorf   2016 06  16  02  45  00  51.257951 
Bacheinlauf1     2016 06  16  02  45  00  0.000000  
Bacheinlauf2     2016 06  16  02  45  00  0.001056  
Bacheinlauf30    2016 06  16  02  45  00  0.000000  
Bacheinlauf47    2016 06  16  02  45  00  0.000000  
Node_8           2016 06  16  02  45  00  0.000000  
Notentlastung_48b 2016 06  16  02  45  00  0.000000  
103d_SBW         2016 06  16  02  50  00  0.004719  
ARA_Fehraltorf   2016 06  16  02  50  00  51.223838 
Bacheinlauf1     2016 06  16  02  50  00  0.000000  
Bacheinlauf2     2016 06  16  02  50  00  0.001057  
Bacheinlauf30    2016 06  16  02  50  00  0.000000  
Bacheinlauf47    2016 06  16  02  50  00  0.000000  
Node_8           2016 06  16  02  50  00  0.000000  
Notentlastung_48b 2016 06  16  02  50  00  0.000000  
103d_SBW         2016 06  16  02  55  00  0.004719  
ARA_Fehraltorf   2016 06  16  02  55  00  51.223838 
Bacheinlauf1     2016 06  16  02  55  00  0.000000  
Bacheinlauf2     2016 06  16  02  55  00  0.001057  
Bacheinlauf30    2016 06  16  02  55  00  0.000000  
Bacheinlauf47    2016 06  16  02  55  00  0.000000  
Node_8           2016 06  16  02  55  00  0.000000  
Notentlastung_48b 2016 06  16  02  55  00  0.000000  
103d_SBW         2016 06  16  03  00  00  0.004719  
ARA_Fehraltorf   2016 06  16  03  00  00  51.223838 
Bacheinlauf1     2016 06  16  03  00  00  0.000000  
Bacheinlauf2     2016 06  16  03  00  00  0.001057  
Bacheinlauf30    2016 06  16  03  00  00  0.000000  
Bacheinlauf47    2016 06  16  03  00  00  0.000000  
Node_8           2016 06  16  03  00  00  0.000000  
Notentlastung_48b 2016 06  16  03  00  00  0.000000  
103d_SBW         2016 06  16  03  05  00  0.001570  
ARA_Fehraltorf   2016 06  16  03  05  00  50.821656 
Bacheinlauf1     2016 06  16  03  05  00  0.000000  
Bacheinlauf2     2016 06  16  03  05  00  0.000000  
Bacheinlauf30    2016 06  16  03  05  00  0.000000  
Bacheinlauf47    2016 06  16  03  05  00  0.000000  
Node_8           2016 06  16  03  05  00  0.000000  
Notentlastung_48b 2016 06  16  03  05  00  0.000000  
103d_SBW         2016 06  16  03  10  00  0.000000  
ARA_Fehraltorf   2016 06  16  03  10  00  50.900826 
Bacheinlauf1     2016 06  16  03  10  00  0.000000  
Bacheinlauf2     2016 06  16  03  10  00  0.000000  
Bacheinlauf30    2016 06  16  03  10  00  0.000000  
Bacheinlauf47    2016 06  16  03  10  00  0.000000  
Node_8           2016 06  16  03  10  00  0.000000  
Notentlastung_48b 2016 06  16  03  10  00  0.000000  
103d_SBW         2016 06  16  03  15  00  0.000000  
ARA_Fehraltorf   2016 06  16  03  15  00  51.399243 
Bacheinlauf1     2016 06  16  03  15  00  0.000000  
Bacheinlauf2     2016 06  16  03  15  00  0.000000  
Bacheinlauf30    2016 06  16  03  15  00  0.000000  
Bacheinlauf47    2016 06  16  03  15  00  0.000000  
Node_8           2016 06  16  03  15  00  0.000000  
Notentlastung_48b 2016 06  16  03  15  00  0.000000  
103d_SBW         2016 06  16  03  20  00  0.000000  
ARA_Fehraltorf   2016 06  16  03  20  00  52.227174 
Bacheinlauf1     2016 06  16  03  20  00  0.000000  
Bacheinlauf2     2016 06  16  03  20  00  0.000000  
Bacheinlauf30    2016 06  16  03  20  00  0.000000  
Bacheinlauf47    2016 06  16  03  20  00  0.000000  
