SWMM5 Interface File
*MODEL: Sewer catchment model to simulate sewer discharge from Central Fehraltorf to the the treatment plant at ARA Fehraltorf. This model includes the observed transfer flows from RUMLIKON at location 'f02' (node 555) and RUSSIKON at location 'f03' (node 11d). The model is not complete and may still contain errors! 
300  - reporting time step in sec
1    - number of constituents as listed below:
FLOW LPS
8    - number of nodes as listed below:
103d_SBW
ARA_Fehraltorf
Bacheinlauf1
Bacheinlauf2
Bacheinlauf30
Bacheinlauf47
Node_8
Notentlastung_48b
Node             Year Mon Day Hr  Min Sec FLOW      
Bacheinlauf1     2016 06  25  23  35  00  0.000000  
Bacheinlauf2     2016 06  25  23  35  00  0.000000  
Bacheinlauf30    2016 06  25  23  35  00  0.000000  
Bacheinlauf47    2016 06  25  23  35  00  0.000000  
Node_8           2016 06  25  23  35  00  0.000000  
Notentlastung_48b 2016 06  25  23  35  00  0.000000  
103d_SBW         2016 06  25  23  40  00  0.000000  
ARA_Fehraltorf   2016 06  25  23  40  00  158.477543
Bacheinlauf1     2016 06  25  23  40  00  0.000000  
Bacheinlauf2     2016 06  25  23  40  00  0.000000  
Bacheinlauf30    2016 06  25  23  40  00  0.000000  
Bacheinlauf47    2016 06  25  23  40  00  0.000000  
Node_8           2016 06  25  23  40  00  0.000000  
Notentlastung_48b 2016 06  25  23  40  00  0.000000  
103d_SBW         2016 06  25  23  45  00  0.000000  
ARA_Fehraltorf   2016 06  25  23  45  00  165.916294
Bacheinlauf1     2016 06  25  23  45  00  0.000000  
Bacheinlauf2     2016 06  25  23  45  00  0.000000  
Bacheinlauf30    2016 06  25  23  45  00  0.000000  
Bacheinlauf47    2016 06  25  23  45  00  0.000000  
Node_8           2016 06  25  23  45  00  0.000000  
Notentlastung_48b 2016 06  25  23  45  00  0.000000  
103d_SBW         2016 06  25  23  50  00  0.000000  
ARA_Fehraltorf   2016 06  25  23  50  00  156.825708
Bacheinlauf1     2016 06  25  23  50  00  0.000000  
Bacheinlauf2     2016 06  25  23  50  00  0.000000  
Bacheinlauf30    2016 06  25  23  50  00  0.000000  
Bacheinlauf47    2016 06  25  23  50  00  0.000000  
Node_8           2016 06  25  23  50  00  0.000000  
Notentlastung_48b 2016 06  25  23  50  00  0.000000  
103d_SBW         2016 06  25  23  55  00  0.000000  
ARA_Fehraltorf   2016 06  25  23  55  00  167.896071
Bacheinlauf1     2016 06  25  23  55  00  0.000000  
Bacheinlauf2     2016 06  25  23  55  00  0.000000  
Bacheinlauf30    2016 06  25  23  55  00  0.000000  
Bacheinlauf47    2016 06  25  23  55  00  0.000000  
Node_8           2016 06  25  23  55  00  0.000000  
Notentlastung_48b 2016 06  25  23  55  00  0.000000  
103d_SBW         2016 06  26  00  00  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  00  00  144.934256
Bacheinlauf1     2016 06  26  00  00  00  0.000000  
Bacheinlauf2     2016 06  26  00  00  00  0.000000  
Bacheinlauf30    2016 06  26  00  00  00  0.000000  
Bacheinlauf47    2016 06  26  00  00  00  0.000000  
Node_8           2016 06  26  00  00  00  0.000000  
Notentlastung_48b 2016 06  26  00  00  00  0.000000  
103d_SBW         2016 06  26  00  05  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  05  00  139.789358
Bacheinlauf1     2016 06  26  00  05  00  0.000000  
Bacheinlauf2     2016 06  26  00  05  00  0.000000  
Bacheinlauf30    2016 06  26  00  05  00  0.000000  
Bacheinlauf47    2016 06  26  00  05  00  0.000000  
Node_8           2016 06  26  00  05  00  0.000000  
Notentlastung_48b 2016 06  26  00  05  00  0.000000  
103d_SBW         2016 06  26  00  10  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  10  00  139.696489
Bacheinlauf1     2016 06  26  00  10  00  0.000000  
Bacheinlauf2     2016 06  26  00  10  00  0.000000  
Bacheinlauf30    2016 06  26  00  10  00  0.000000  
Bacheinlauf47    2016 06  26  00  10  00  0.000000  
Node_8           2016 06  26  00  10  00  0.000000  
Notentlastung_48b 2016 06  26  00  10  00  0.000000  
103d_SBW         2016 06  26  00  15  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  15  00  141.052005
Bacheinlauf1     2016 06  26  00  15  00  0.000000  
Bacheinlauf2     2016 06  26  00  15  00  0.000000  
Bacheinlauf30    2016 06  26  00  15  00  0.000000  
Bacheinlauf47    2016 06  26  00  15  00  0.000000  
Node_8           2016 06  26  00  15  00  0.000000  
Notentlastung_48b 2016 06  26  00  15  00  0.000000  
103d_SBW         2016 06  26  00  20  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  20  00  122.251017
Bacheinlauf1     2016 06  26  00  20  00  0.000000  
Bacheinlauf2     2016 06  26  00  20  00  0.000000  
Bacheinlauf30    2016 06  26  00  20  00  0.000000  
Bacheinlauf47    2016 06  26  00  20  00  0.000000  
Node_8           2016 06  26  00  20  00  0.000000  
Notentlastung_48b 2016 06  26  00  20  00  0.000000  
103d_SBW         2016 06  26  00  25  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  25  00  123.568995
Bacheinlauf1     2016 06  26  00  25  00  0.000000  
Bacheinlauf2     2016 06  26  00  25  00  0.000000  
Bacheinlauf30    2016 06  26  00  25  00  0.000000  
Bacheinlauf47    2016 06  26  00  25  00  0.000000  
Node_8           2016 06  26  00  25  00  0.000000  
Notentlastung_48b 2016 06  26  00  25  00  0.000000  
103d_SBW         2016 06  26  00  30  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  30  00  124.041798
Bacheinlauf1     2016 06  26  00  30  00  0.000000  
Bacheinlauf2     2016 06  26  00  30  00  0.000000  
Bacheinlauf30    2016 06  26  00  30  00  0.000000  
Bacheinlauf47    2016 06  26  00  30  00  0.000000  
Node_8           2016 06  26  00  30  00  0.000000  
Notentlastung_48b 2016 06  26  00  30  00  0.000000  
103d_SBW         2016 06  26  00  35  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  35  00  123.683452
Bacheinlauf1     2016 06  26  00  35  00  0.000000  
Bacheinlauf2     2016 06  26  00  35  00  0.000000  
Bacheinlauf30    2016 06  26  00  35  00  0.000000  
Bacheinlauf47    2016 06  26  00  35  00  0.000000  
Node_8           2016 06  26  00  35  00  0.000000  
Notentlastung_48b 2016 06  26  00  35  00  0.000000  
103d_SBW         2016 06  26  00  40  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  40  00  122.498367
Bacheinlauf1     2016 06  26  00  40  00  0.000000  
Bacheinlauf2     2016 06  26  00  40  00  0.000000  
Bacheinlauf30    2016 06  26  00  40  00  0.000000  
Bacheinlauf47    2016 06  26  00  40  00  0.000000  
Node_8           2016 06  26  00  40  00  0.000000  
Notentlastung_48b 2016 06  26  00  40  00  0.000000  
103d_SBW         2016 06  26  00  45  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  45  00  121.316471
Bacheinlauf1     2016 06  26  00  45  00  0.000000  
Bacheinlauf2     2016 06  26  00  45  00  0.000000  
Bacheinlauf30    2016 06  26  00  45  00  0.000000  
Bacheinlauf47    2016 06  26  00  45  00  0.000000  
Node_8           2016 06  26  00  45  00  0.000000  
Notentlastung_48b 2016 06  26  00  45  00  0.000000  
103d_SBW         2016 06  26  00  50  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  50  00  120.606724
Bacheinlauf1     2016 06  26  00  50  00  0.000000  
Bacheinlauf2     2016 06  26  00  50  00  0.000000  
Bacheinlauf30    2016 06  26  00  50  00  0.000000  
Bacheinlauf47    2016 06  26  00  50  00  0.000000  
Node_8           2016 06  26  00  50  00  0.000000  
Notentlastung_48b 2016 06  26  00  50  00  0.000000  
103d_SBW         2016 06  26  00  55  00  0.000000  
ARA_Fehraltorf   2016 06  26  00  55  00  120.054973
Bacheinlauf1     2016 06  26  00  55  00  0.000000  
Bacheinlauf2     2016 06  26  00  55  00  0.000000  
Bacheinlauf30    2016 06  26  00  55  00  0.000000  
Bacheinlauf47    2016 06  26  00  55  00  0.000000  
Node_8           2016 06  26  00  55  00  0.000000  
Notentlastung_48b 2016 06  26  00  55  00  0.000000  
103d_SBW         2016 06  26  01  00  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  00  00  119.527981
Bacheinlauf1     2016 06  26  01  00  00  0.000000  
Bacheinlauf2     2016 06  26  01  00  00  0.000000  
Bacheinlauf30    2016 06  26  01  00  00  0.000000  
Bacheinlauf47    2016 06  26  01  00  00  0.000000  
Node_8           2016 06  26  01  00  00  0.000000  
Notentlastung_48b 2016 06  26  01  00  00  0.000000  
103d_SBW         2016 06  26  01  05  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  05  00  118.378430
Bacheinlauf1     2016 06  26  01  05  00  0.000000  
Bacheinlauf2     2016 06  26  01  05  00  0.000000  
Bacheinlauf30    2016 06  26  01  05  00  0.000000  
Bacheinlauf47    2016 06  26  01  05  00  0.000000  
Node_8           2016 06  26  01  05  00  0.000000  
Notentlastung_48b 2016 06  26  01  05  00  0.000000  
103d_SBW         2016 06  26  01  10  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  10  00  116.279192
Bacheinlauf1     2016 06  26  01  10  00  0.000000  
Bacheinlauf2     2016 06  26  01  10  00  0.000000  
Bacheinlauf30    2016 06  26  01  10  00  0.000000  
Bacheinlauf47    2016 06  26  01  10  00  0.000000  
Node_8           2016 06  26  01  10  00  0.000000  
Notentlastung_48b 2016 06  26  01  10  00  0.000000  
103d_SBW         2016 06  26  01  15  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  15  00  113.795069
Bacheinlauf1     2016 06  26  01  15  00  0.000000  
Bacheinlauf2     2016 06  26  01  15  00  0.000000  
Bacheinlauf30    2016 06  26  01  15  00  0.000000  
Bacheinlauf47    2016 06  26  01  15  00  0.000000  
Node_8           2016 06  26  01  15  00  0.000000  
Notentlastung_48b 2016 06  26  01  15  00  0.000000  
103d_SBW         2016 06  26  01  20  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  20  00  110.704155
Bacheinlauf1     2016 06  26  01  20  00  0.000000  
Bacheinlauf2     2016 06  26  01  20  00  0.000000  
Bacheinlauf30    2016 06  26  01  20  00  0.000000  
Bacheinlauf47    2016 06  26  01  20  00  0.000000  
Node_8           2016 06  26  01  20  00  0.000000  
Notentlastung_48b 2016 06  26  01  20  00  0.000000  
103d_SBW         2016 06  26  01  25  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  25  00  108.063082
Bacheinlauf1     2016 06  26  01  25  00  0.000000  
Bacheinlauf2     2016 06  26  01  25  00  0.000000  
Bacheinlauf30    2016 06  26  01  25  00  0.000000  
Bacheinlauf47    2016 06  26  01  25  00  0.000000  
Node_8           2016 06  26  01  25  00  0.000000  
Notentlastung_48b 2016 06  26  01  25  00  0.000000  
103d_SBW         2016 06  26  01  30  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  30  00  106.841832
Bacheinlauf1     2016 06  26  01  30  00  0.000000  
Bacheinlauf2     2016 06  26  01  30  00  0.000000  
Bacheinlauf30    2016 06  26  01  30  00  0.000000  
Bacheinlauf47    2016 06  26  01  30  00  0.000000  
Node_8           2016 06  26  01  30  00  0.000000  
Notentlastung_48b 2016 06  26  01  30  00  0.000000  
103d_SBW         2016 06  26  01  35  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  35  00  105.872711
Bacheinlauf1     2016 06  26  01  35  00  0.000000  
Bacheinlauf2     2016 06  26  01  35  00  0.000000  
Bacheinlauf30    2016 06  26  01  35  00  0.000000  
Bacheinlauf47    2016 06  26  01  35  00  0.000000  
Node_8           2016 06  26  01  35  00  0.000000  
Notentlastung_48b 2016 06  26  01  35  00  0.000000  
103d_SBW         2016 06  26  01  40  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  40  00  105.356969
Bacheinlauf1     2016 06  26  01  40  00  0.000000  
Bacheinlauf2     2016 06  26  01  40  00  0.000000  
Bacheinlauf30    2016 06  26  01  40  00  0.000000  
Bacheinlauf47    2016 06  26  01  40  00  0.000000  
Node_8           2016 06  26  01  40  00  0.000000  
Notentlastung_48b 2016 06  26  01  40  00  0.000000  
103d_SBW         2016 06  26  01  45  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  45  00  105.096170
Bacheinlauf1     2016 06  26  01  45  00  0.000000  
Bacheinlauf2     2016 06  26  01  45  00  0.000000  
Bacheinlauf30    2016 06  26  01  45  00  0.000000  
Bacheinlauf47    2016 06  26  01  45  00  0.000000  
Node_8           2016 06  26  01  45  00  0.000000  
Notentlastung_48b 2016 06  26  01  45  00  0.000000  
103d_SBW         2016 06  26  01  50  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  50  00  104.173489
Bacheinlauf1     2016 06  26  01  50  00  0.000000  
Bacheinlauf2     2016 06  26  01  50  00  0.000000  
Bacheinlauf30    2016 06  26  01  50  00  0.000000  
Bacheinlauf47    2016 06  26  01  50  00  0.000000  
Node_8           2016 06  26  01  50  00  0.000000  
Notentlastung_48b 2016 06  26  01  50  00  0.000000  
103d_SBW         2016 06  26  01  55  00  0.000000  
ARA_Fehraltorf   2016 06  26  01  55  00  103.068027
Bacheinlauf1     2016 06  26  01  55  00  0.000000  
Bacheinlauf2     2016 06  26  01  55  00  0.000000  
Bacheinlauf30    2016 06  26  01  55  00  0.000000  
Bacheinlauf47    2016 06  26  01  55  00  0.000000  
Node_8           2016 06  26  01  55  00  0.000000  
Notentlastung_48b 2016 06  26  01  55  00  0.000000  
103d_SBW         2016 06  26  02  00  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  00  00  102.149786
Bacheinlauf1     2016 06  26  02  00  00  0.000000  
Bacheinlauf2     2016 06  26  02  00  00  0.000000  
Bacheinlauf30    2016 06  26  02  00  00  0.000000  
Bacheinlauf47    2016 06  26  02  00  00  0.000000  
Node_8           2016 06  26  02  00  00  0.000000  
Notentlastung_48b 2016 06  26  02  00  00  0.000000  
103d_SBW         2016 06  26  02  05  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  05  00  102.076061
Bacheinlauf1     2016 06  26  02  05  00  0.000000  
Bacheinlauf2     2016 06  26  02  05  00  0.000000  
Bacheinlauf30    2016 06  26  02  05  00  0.000000  
Bacheinlauf47    2016 06  26  02  05  00  0.000000  
Node_8           2016 06  26  02  05  00  0.000000  
Notentlastung_48b 2016 06  26  02  05  00  0.000000  
103d_SBW         2016 06  26  02  10  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  10  00  102.541706
Bacheinlauf1     2016 06  26  02  10  00  0.000000  
Bacheinlauf2     2016 06  26  02  10  00  0.000000  
Bacheinlauf30    2016 06  26  02  10  00  0.000000  
Bacheinlauf47    2016 06  26  02  10  00  0.000000  
Node_8           2016 06  26  02  10  00  0.000000  
Notentlastung_48b 2016 06  26  02  10  00  0.000000  
103d_SBW         2016 06  26  02  15  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  15  00  102.599259
Bacheinlauf1     2016 06  26  02  15  00  0.000000  
Bacheinlauf2     2016 06  26  02  15  00  0.000000  
Bacheinlauf30    2016 06  26  02  15  00  0.000000  
Bacheinlauf47    2016 06  26  02  15  00  0.000000  
Node_8           2016 06  26  02  15  00  0.000000  
Notentlastung_48b 2016 06  26  02  15  00  0.000000  
103d_SBW         2016 06  26  02  20  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  20  00  102.800318
Bacheinlauf1     2016 06  26  02  20  00  0.000000  
Bacheinlauf2     2016 06  26  02  20  00  0.000000  
Bacheinlauf30    2016 06  26  02  20  00  0.000000  
Bacheinlauf47    2016 06  26  02  20  00  0.000000  
Node_8           2016 06  26  02  20  00  0.000000  
Notentlastung_48b 2016 06  26  02  20  00  0.000000  
103d_SBW         2016 06  26  02  25  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  25  00  102.920337
Bacheinlauf1     2016 06  26  02  25  00  0.000000  
Bacheinlauf2     2016 06  26  02  25  00  0.000000  
Bacheinlauf30    2016 06  26  02  25  00  0.000000  
Bacheinlauf47    2016 06  26  02  25  00  0.000000  
Node_8           2016 06  26  02  25  00  0.000000  
Notentlastung_48b 2016 06  26  02  25  00  0.000000  
103d_SBW         2016 06  26  02  30  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  30  00  103.924768
Bacheinlauf1     2016 06  26  02  30  00  0.000000  
Bacheinlauf2     2016 06  26  02  30  00  0.000000  
Bacheinlauf30    2016 06  26  02  30  00  0.000000  
Bacheinlauf47    2016 06  26  02  30  00  0.000000  
Node_8           2016 06  26  02  30  00  0.000000  
Notentlastung_48b 2016 06  26  02  30  00  0.000000  
103d_SBW         2016 06  26  02  35  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  35  00  105.228663
Bacheinlauf1     2016 06  26  02  35  00  0.000000  
Bacheinlauf2     2016 06  26  02  35  00  0.000000  
Bacheinlauf30    2016 06  26  02  35  00  0.000000  
Bacheinlauf47    2016 06  26  02  35  00  0.000000  
Node_8           2016 06  26  02  35  00  0.000000  
Notentlastung_48b 2016 06  26  02  35  00  0.000000  
103d_SBW         2016 06  26  02  40  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  40  00  104.774122
Bacheinlauf1     2016 06  26  02  40  00  0.000000  
Bacheinlauf2     2016 06  26  02  40  00  0.000000  
Bacheinlauf30    2016 06  26  02  40  00  0.000000  
Bacheinlauf47    2016 06  26  02  40  00  0.000000  
Node_8           2016 06  26  02  40  00  0.000000  
Notentlastung_48b 2016 06  26  02  40  00  0.000000  
103d_SBW         2016 06  26  02  45  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  45  00  101.821580
Bacheinlauf1     2016 06  26  02  45  00  0.000000  
Bacheinlauf2     2016 06  26  02  45  00  0.000000  
Bacheinlauf30    2016 06  26  02  45  00  0.000000  
Bacheinlauf47    2016 06  26  02  45  00  0.000000  
Node_8           2016 06  26  02  45  00  0.000000  
Notentlastung_48b 2016 06  26  02  45  00  0.000000  
103d_SBW         2016 06  26  02  50  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  50  00  97.193196 
Bacheinlauf1     2016 06  26  02  50  00  0.000000  
Bacheinlauf2     2016 06  26  02  50  00  0.000000  
Bacheinlauf30    2016 06  26  02  50  00  0.000000  
Bacheinlauf47    2016 06  26  02  50  00  0.000000  
Node_8           2016 06  26  02  50  00  0.000000  
Notentlastung_48b 2016 06  26  02  50  00  0.000000  
103d_SBW         2016 06  26  02  55  00  0.000000  
ARA_Fehraltorf   2016 06  26  02  55  00  95.159717 
Bacheinlauf1     2016 06  26  02  55  00  0.000000  
Bacheinlauf2     2016 06  26  02  55  00  0.000000  
Bacheinlauf30    2016 06  26  02  55  00  0.000000  
Bacheinlauf47    2016 06  26  02  55  00  0.000000  
Node_8           2016 06  26  02  55  00  0.000000  
Notentlastung_48b 2016 06  26  02  55  00  0.000000  
103d_SBW         2016 06  26  03  00  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  00  00  94.680562 
Bacheinlauf1     2016 06  26  03  00  00  0.000000  
Bacheinlauf2     2016 06  26  03  00  00  0.000000  
Bacheinlauf30    2016 06  26  03  00  00  0.000000  
Bacheinlauf47    2016 06  26  03  00  00  0.000000  
Node_8           2016 06  26  03  00  00  0.000000  
Notentlastung_48b 2016 06  26  03  00  00  0.000000  
103d_SBW         2016 06  26  03  05  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  05  00  93.079580 
Bacheinlauf1     2016 06  26  03  05  00  0.000000  
Bacheinlauf2     2016 06  26  03  05  00  0.000000  
Bacheinlauf30    2016 06  26  03  05  00  0.000000  
Bacheinlauf47    2016 06  26  03  05  00  0.000000  
Node_8           2016 06  26  03  05  00  0.000000  
Notentlastung_48b 2016 06  26  03  05  00  0.000000  
103d_SBW         2016 06  26  03  10  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  10  00  90.623754 
Bacheinlauf1     2016 06  26  03  10  00  0.000000  
Bacheinlauf2     2016 06  26  03  10  00  0.000000  
Bacheinlauf30    2016 06  26  03  10  00  0.000000  
Bacheinlauf47    2016 06  26  03  10  00  0.000000  
Node_8           2016 06  26  03  10  00  0.000000  
Notentlastung_48b 2016 06  26  03  10  00  0.000000  
103d_SBW         2016 06  26  03  15  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  15  00  87.695945 
Bacheinlauf1     2016 06  26  03  15  00  0.000000  
Bacheinlauf2     2016 06  26  03  15  00  0.000000  
Bacheinlauf30    2016 06  26  03  15  00  0.000000  
Bacheinlauf47    2016 06  26  03  15  00  0.000000  
Node_8           2016 06  26  03  15  00  0.000000  
Notentlastung_48b 2016 06  26  03  15  00  0.000000  
103d_SBW         2016 06  26  03  20  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  20  00  86.415725 
Bacheinlauf1     2016 06  26  03  20  00  0.000000  
Bacheinlauf2     2016 06  26  03  20  00  0.000000  
Bacheinlauf30    2016 06  26  03  20  00  0.000000  
Bacheinlauf47    2016 06  26  03  20  00  0.000000  
Node_8           2016 06  26  03  20  00  0.000000  
Notentlastung_48b 2016 06  26  03  20  00  0.000000  
103d_SBW         2016 06  26  03  25  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  25  00  86.201836 
Bacheinlauf1     2016 06  26  03  25  00  0.000000  
Bacheinlauf2     2016 06  26  03  25  00  0.000000  
Bacheinlauf30    2016 06  26  03  25  00  0.000000  
Bacheinlauf47    2016 06  26  03  25  00  0.000000  
Node_8           2016 06  26  03  25  00  0.000000  
Notentlastung_48b 2016 06  26  03  25  00  0.000000  
103d_SBW         2016 06  26  03  30  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  30  00  82.997196 
Bacheinlauf1     2016 06  26  03  30  00  0.000000  
Bacheinlauf2     2016 06  26  03  30  00  0.000000  
Bacheinlauf30    2016 06  26  03  30  00  0.000000  
Bacheinlauf47    2016 06  26  03  30  00  0.000000  
Node_8           2016 06  26  03  30  00  0.000000  
Notentlastung_48b 2016 06  26  03  30  00  0.000000  
103d_SBW         2016 06  26  03  35  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  35  00  80.693477 
Bacheinlauf1     2016 06  26  03  35  00  0.000000  
Bacheinlauf2     2016 06  26  03  35  00  0.000000  
Bacheinlauf30    2016 06  26  03  35  00  0.000000  
Bacheinlauf47    2016 06  26  03  35  00  0.000000  
Node_8           2016 06  26  03  35  00  0.000000  
Notentlastung_48b 2016 06  26  03  35  00  0.000000  
103d_SBW         2016 06  26  03  40  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  40  00  79.805686 
Bacheinlauf1     2016 06  26  03  40  00  0.000000  
Bacheinlauf2     2016 06  26  03  40  00  0.000000  
Bacheinlauf30    2016 06  26  03  40  00  0.000000  
Bacheinlauf47    2016 06  26  03  40  00  0.000000  
Node_8           2016 06  26  03  40  00  0.000000  
Notentlastung_48b 2016 06  26  03  40  00  0.000000  
103d_SBW         2016 06  26  03  45  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  45  00  79.823122 
Bacheinlauf1     2016 06  26  03  45  00  0.000000  
Bacheinlauf2     2016 06  26  03  45  00  0.000000  
Bacheinlauf30    2016 06  26  03  45  00  0.000000  
Bacheinlauf47    2016 06  26  03  45  00  0.000000  
Node_8           2016 06  26  03  45  00  0.000000  
Notentlastung_48b 2016 06  26  03  45  00  0.000000  
103d_SBW         2016 06  26  03  50  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  50  00  80.048748 
Bacheinlauf1     2016 06  26  03  50  00  0.000000  
Bacheinlauf2     2016 06  26  03  50  00  0.000000  
Bacheinlauf30    2016 06  26  03  50  00  0.000000  
Bacheinlauf47    2016 06  26  03  50  00  0.000000  
Node_8           2016 06  26  03  50  00  0.000000  
Notentlastung_48b 2016 06  26  03  50  00  0.000000  
103d_SBW         2016 06  26  03  55  00  0.000000  
ARA_Fehraltorf   2016 06  26  03  55  00  78.619125 
Bacheinlauf1     2016 06  26  03  55  00  0.000000  
Bacheinlauf2     2016 06  26  03  55  00  0.000000  
Bacheinlauf30    2016 06  26  03  55  00  0.000000  
Bacheinlauf47    2016 06  26  03  55  00  0.000000  
Node_8           2016 06  26  03  55  00  0.000000  
Notentlastung_48b 2016 06  26  03  55  00  0.000000  
103d_SBW         2016 06  26  04  00  00  0.000000  
ARA_Fehraltorf   2016 06  26  04  00  00  77.280388 
Bacheinlauf1     2016 06  26  04  00  00  0.000000  
Bacheinlauf2     2016 06  26  04  00  00  0.000000  
Bacheinlauf30    2016 06  26  04  00  00  0.000000  
Bacheinlauf47    2016 06  26  04  00  00  0.000000  
Node_8           2016 06  26  04  00  00  0.000000  
Notentlastung_48b 2016 06  26  04  00  00  0.000000  
103d_SBW         2016 06  26  04  05  00  0.000000  
ARA_Fehraltorf   2016 06  26  04  05  00  76.508693 
Bacheinlauf1     2016 06  26  04  05  00  0.000000  
Bacheinlauf2     2016 06  26  04  05  00  0.000000  
Bacheinlauf30    2016 06  26  04  05  00  0.000000  
Bacheinlauf47    2016 06  26  04  05  00  0.000000  
Node_8           2016 06  26  04  05  00  0.000000  
Notentlastung_48b 2016 06  26  04  05  00  0.000000  
103d_SBW         2016 06  26  04  10  00  0.000000  
ARA_Fehraltorf   2016 06  26  04  10  00  75.811874 
Bacheinlauf1     2016 06  26  04  10  00  0.000000  
Bacheinlauf2     2016 06  26  04  10  00  0.000000  
Bacheinlauf30    2016 06  26  04  10  00  0.000000  
Bacheinlauf47    2016 06  26  04  10  00  0.000000  
Node_8           2016 06  26  04  10  00  0.000000  
Notentlastung_48b 2016 06  26  04  10  00  0.000000  
103d_SBW         2016 06  26  04  15  00  0.000000  
ARA_Fehraltorf   2016 06  26  04  15  00  75.506078 
Bacheinlauf1     2016 06  26  04  15  00  0.000000  
Bacheinlauf2     2016 06  26  04  15  00  0.000000  
Bacheinlauf30    2016 06  26  04  15  00  0.000000  
Bacheinlauf47    2016 06  26  04  15  00  0.000000  
Node_8           2016 06  26  04  15  00  0.000000  
Notentlastung_48b 2016 06  26  04  15  00  0.000000  
103d_SBW         2016 06  26  04  20  00  0.000000  
ARA_Fehraltorf   2016 06  26  04  20  00  75.295756 
Bacheinlauf1     2016 06  26  04  20  00  0.000000  
Bacheinlauf2     2016 06  26  04  20  00  0.000000  
Bacheinlauf30    2016 06  26  04  20  00  0.000000  
Bacheinlauf47    2016 06  26  04  20  00  0.000000  
Node_8           2016 06  26  04  20  00  0.000000  
Notentlastung_48b 2016 06  26  04  20  00  0.000000  
103d_SBW         2016 06  26  04  25  00  0.000000  
ARA_Fehraltorf   2016 06  26  04  25  00  74.928706 
Bacheinlauf1     2016 06  26  04  25  00  0.000000  
Bacheinlauf2     2016 06  26  04  25  00  0.000000  
Bacheinlauf30    2016 06  26  04  25  00  0.000000  
Bacheinlauf47    2016 06  26  04  25  00  0.000000  
Node_8           2016 06  26  04  25  00  0.000000  
Notentlastung_48b 2016 06  26  04  25  00  0.000000  
103d_SBW         2016 06  26  04  30  00  0.000000  
ARA_Fehraltorf   2016 06  26  04  30  00  74.286647 
Bacheinlauf1     2016 06  26  04  30  00  0.000000  
Bacheinlauf2     2016 06  26  04  30  00  0.000000  
Bacheinlauf30    2016 06  26  04  30  00  0.000000  
Bacheinlauf47    2016 06  26  04  30  00  0.000000  
Node_8           2016 06  26  04  30  00  0.000000  
Notentlastung_48b 2016 06  26  04  30  00  0.000000  
103d_SBW         2016 06  26  04  35  00  0.000000  
ARA_Fehraltorf   2016 06  26  04  35  00  73.847186 
Bacheinlauf1     2016 06  26  04  35  00  0.000000  
Bacheinlauf2     2016 06  26  04  35  00  0.000000  
Bacheinlauf30    2016 06  26  04  35  00  0.000000  
Bacheinlauf47    2016 06  26  04  35  00  0.000000  
Node_8           2016 06  26  04  35  00  0.000000  
Notentlastung_48b 2016 06  26  04  35  00  0.000000  
103d_SBW         2016 06  26  04  40  00  0.000000  
